epoch;acc;f1;loss;val_acc;val_f1;val_loss
0;0.56578255;0.5169297;0.770113598655444;0.5984127;0.5096024;0.676847793161869
0;0.57553136;0.4763971;0.7775215422690449;0.6;0.5450239;0.6969552837312222
1;0.5974003;0.46525615;0.722065325342832;0.6142857;0.50605226;0.653520617634058
2;0.6170736;0.4891018;0.692212325783704;0.63174605;0.4883592;0.6327616430819034
3;0.62954503;0.4840471;0.6756055107251551;0.6365079;0.58606714;0.6666744522750377
4;0.63051116;0.49490348;0.6618688576422068;0.63174605;0.58671105;0.6383281722664833
5;0.6442122;0.51951563;0.6436120808679442;0.62539685;0.4716173;0.6285828940570355
6;0.6508871;0.5293912;0.6292707180696276;0.64285713;0.4018646;0.6285832487046719
7;0.6668716;0.5451907;0.6146864826244104;0.63492066;0.55557257;0.6097167238593102
8;0.67258036;0.56562394;0.6028488764292993;0.61587304;0.5501428;0.6418679349124432
9;0.6782891;0.57532704;0.5959567863598202;0.6698413;0.5813905;0.5960893295705318
10;0.6782891;0.57940453;0.5944248233510722;0.64444447;0.62502503;0.6341602094471455
11;0.69304407;0.59178704;0.5739484524477686;0.61587304;0.62040985;0.6657267645001411
12;0.6937467;0.6012357;0.5770945419394947;0.5873016;0.61488754;0.6938411235809326
13;0.7058669;0.62077224;0.5616657592836508;0.6142857;0.6248588;0.6664673238992691
14;0.7077991;0.618262;0.5544112507098801;0.6634921;0.53157574;0.580698836222291
15;0.7061303;0.62253296;0.5550261715918795;0.64285713;0.61276186;0.622787556797266
16;0.7168453;0.63783777;0.5444493333599845;0.6873016;0.6346523;0.5919874235987663
17;0.7206218;0.6459493;0.5416971150148989;0.6730159;0.59128284;0.590346311032772
18;0.7231688;0.6483874;0.5381460202173716;0.6571429;0.6522001;0.6446946308016777
19;0.72395927;0.65078706;0.5280043922721994;0.67460316;0.6487169;0.6063555136322976
20;0.7321272;0.6642394;0.5216477046202591;0.65238094;0.64713246;0.63560920804739
21;0.73748463;0.669669;0.5185828958928386;0.6873016;0.6081563;0.5557016380131244
22;0.73660636;0.6703231;0.5119694852774537;0.6984127;0.66033596;0.5794489726424217
23;0.7380994;0.6727022;0.5095320212261006;0.6539683;0.65722024;0.6576296664774418
24;0.7392412;0.67616117;0.5054117474261977;0.6793651;0.5547565;0.5875532250851393
25;0.7478482;0.6861924;0.49534634339375966;0.7;0.6465696;0.5800426065921783
26;0.74951696;0.6904402;0.49350949247126713;0.6873016;0.6217617;0.583973303437233
27;0.754084;0.69608617;0.48858108408271417;0.6634921;0.6466692;0.6268783010542393
28;0.7553135;0.69960487;0.49006609912080296;0.684127;0.6688949;0.6253502450883388
29;0.75118566;0.6952662;0.48738066501092264;0.66190475;0.6373996;0.6174005851149559
30;0.76058316;0.7050632;0.4791585471348249;0.684127;0.6556559;0.6061854057013989
31;0.76418406;0.70935;0.48075806824452805;0.6761905;0.6068328;0.577275063097477
32;0.76304233;0.7079269;0.4736439401312325;0.6888889;0.6608983;0.596695962548256
33;0.7686633;0.71679056;0.4658850523943058;0.67460316;0.58402693;0.5993219874799252
34;0.770332;0.7233259;0.461917235261628;0.66507936;0.6630527;0.6536959320306778
35;0.7706833;0.72224206;0.46256354485206397;0.6507937;0.49269772;0.6130027763545514
36;0.76796067;0.7180321;0.46769527444181136;0.7063492;0.66661847;0.6040272444486618
37;0.7694537;0.72359484;0.46575005571054445;0.71428573;0.65900934;0.584153551608324
38;0.775426;0.7276314;0.4557651863635455;0.6936508;0.5954505;0.5852411985397339
39;0.77445984;0.72902596;0.45569966531650014;0.6873016;0.6651032;0.6098859325051308
40;0.76954156;0.7230275;0.45811952893184943;0.7063492;0.6096486;0.5688029564917088
41;0.77797294;0.7347323;0.45350846140953815;0.66507936;0.53462464;0.6147900193929672
42;0.7827156;0.740852;0.4463475114030702;0.7126984;0.6352378;0.5807005226612091
